X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
74,0.054426621,0.018755622,0.04300446,-0.0867168,0.08977693,0.023093814,PlDNA_12,FL-KingPlan,MVP-FL-1,E10_CviMVPe_PlDNA_12_70154_f0c39073,FL-KingPlan,MVP-FL-1,70154,E10,a423c3ea
98,0.054502366,0.015511402,0.03908018,-0.081447867,0.088206637,0.026479136,PlDNA_12,FL-KingPlan,MVP-FL-1,F12_CviMVPe_PlDNA_12_70202_c130c8b9,FL-KingPlan,MVP-FL-1,70202,H7,eeb9558e
120,0.054734635,0.014033749,0.026070253,-0.071566678,-0.140788742,-0.038330563,PlDNA_12,VA-JR-DeepWatSh,MVP-JR-3,C10_CviMVPe_PlDNA_12_70249_275d6398,VA-JR-DeepWatSh,MVP-JR-3,70249,C10,6e7feb3f
126,0.054773906,0.014715322,0.037950788,-0.076691482,0.075668436,0.021249995,PlDNA_13,FL-KingPlan,MVP-FL-3,C10_CviMVPe_PlDNA_13_70261_f8e9c1f2,FL-KingPlan,MVP-FL-3,70261,C10,f57d9042
133,0.054898781,0.015820446,0.042647411,-0.074191841,0.096866227,0.027905701,PlDNA_13,FL-KingPlan,MVP-FL-3,G6_CviMVPe_PlDNA_13_70277_c7b9b9c8,FL-KingPlan,MVP-FL-3,70277,G6,2cc2eb9f
85,0.055012536,0.014630464,0.039421162,-0.084084298,0.084636242,0.025676631,PlDNA_11,FL-KingPlan,MVP-FL-2,A7_CviMVPe_PlDNA_11_70181_2c6c4081,FL-KingPlan,MVP-FL-2,70181,G1,50090ec7
197,0.055165293,0.013537358,0.040602481,-0.076058352,0.09231781,0.025849131,PlDNA_12,Poly-NoOutcross,MVP-SEEDMIX-4,F6_CviMVPe_PlDNA_12_70462_887be852,Poly-NoOutcross,MVP-SEEDMIX-4,70462,F6,a0b5b764
109,0.055213135,0.018436798,0.043844081,-0.0849425,0.091691145,0.022013314,PlDNA_11,FL-KingPlan,MVP-FL-1,D11_CviMVPe_PlDNA_11_70226_e1a3470f,FL-KingPlan,MVP-FL-1,70226,F12,bacd6745
166,0.055471111,0.012575123,0.031240426,-0.070902972,0.074994477,0.02163332,PlDNA_11,TX-CapBay,MVP-TX-6,B12_CviMVPe_PlDNA_11_70377_42164822,TX-CapBay,MVP-TX-6,70377,B12,77329522
224,0.055484531,0.016021053,0.025318776,-0.073352715,-0.144000828,-0.040031569,PlDNA_11,VA-JR-DeepWatSh,MVP-JR-5,E10_CviMVPe_PlDNA_11_70599_9005f4c7,VA-JR-DeepWatSh,MVP-JR-5,70599,E10,15a276d0
125,0.055625536,0.015420109,0.037644271,-0.080863538,0.079478997,0.024565912,PlDNA_12,FL-KingPlan,MVP-FL-3,A4_CviMVPe_PlDNA_12_70260_e546477e,FL-KingPlan,MVP-FL-3,70260,A4,76c3ebe6
228,0.055818715,0.016030423,0.044112811,-0.075237883,0.099976171,0.027641277,PlDNA_11,FL-KingPlan,MVP-FL-5,A10_CviMVPe_PlDNA_11_70604_0f747663,FL-KingPlan,MVP-FL-5,70604,A9,b23053fc
108,0.055838946,0.0141694,0.038420228,-0.078865687,0.087752148,0.027289234,PlDNA_11,FL-KingPlan,MVP-FL-2,D12_CviMVPe_PlDNA_11_70225_81756960,FL-KingPlan,MVP-FL-2,70225,D12,d75eec8f
162,0.055976594,0.022050026,0.045955415,-0.111117596,0.117540148,0.034640772,PlDNA_12,FL-KingPlan,MVP-FL-6,H2_CviMVPe_PlDNA_12_70368_c40c0d75,FL-KingPlan,MVP-FL-6,70368,B9,d85825c3
257,0.05607322,0.016973059,0.044250814,-0.098783819,0.11126918,0.032195136,PlDNA_12,FL-KingPlan,MVP-FL-4,B9_CviMVPe_PlDNA_12_70658_8ef66957,FL-KingPlan,MVP-FL-4,70658,B9,2039b6e2
149,0.056216233,0.015895254,0.046235176,-0.102951591,0.119027295,0.033279005,PlDNA_13,FL-KingPlan,MVP-FL-6,A6_CviMVPe_PlDNA_13_70321_bcceeb06,FL-KingPlan,MVP-FL-6,70321,A6,33143998
101,0.056375157,0.012274493,0.021558241,-0.050177947,-0.086150953,-0.023533151,PlDNA_12,VA-JR-DeepWatSh,MVP-JR-3,H3_CviMVPe_PlDNA_12_70213_acd06414,VA-JR-DeepWatSh,MVP-JR-3,70213,H3,f3655ab1
230,0.05686722,0.017466128,0.047686929,-0.110735575,0.127943684,0.034298921,PlDNA_12,FL-KingPlan,MVP-FL-4,C1_CviMVPe_PlDNA_12_70608_014a01bf,FL-KingPlan,MVP-FL-4,70608,A8,06cbb80c
107,0.057029081,0.01424449,0.041792386,-0.10307933,0.123460162,0.034181075,PlDNA_13,FL-KingPlan,MVP-FL-2,H11_CviMVPe_PlDNA_13_70224_68072b8d,FL-KingPlan,MVP-FL-2,70224,H11,70d652ea
