"","PC1","PC2","PC3","PC4","PC5","PC6","Plate","ID_SiteDate"
"36",-0.071998591982137,-0.00774720571130682,0.0974671259919668,-0.0956732322032575,0.147383325446796,-0.0476610441793326,"PlDNA_6","NH-GrtBay"
"37",-0.0735694806607209,-0.00482357720187593,0.0823580427505696,-0.0872140507799359,0.126540648928558,-0.0311545304901692,"PlDNA_6","NH-GrtBay"
"38",-0.0710210892382627,-0.00673868715429461,0.0934899194161957,-0.0903489332571241,0.146600373535588,-0.045008363188915,"PlDNA_6","NH-GrtBay"
"39",-0.0732392574054756,-0.00669427536214155,0.0950538194263623,-0.0901900777317653,0.144988409189872,-0.0625513945530769,"PlDNA_6","NH-GrtBay"
"40",-0.0759962890097571,-0.0329976167509519,0.0180406333890159,-0.0523688242771257,0.0702831427141705,-0.0470793490084833,"PlDNA_6","NH-GrtBay"
"41",-0.0642969316077993,-0.0231730887142178,0.0923893422822296,0.112371406309659,-0.115508532707492,-0.0340380550030042,"PlDNA_6","FL-KingPlan"
"42",-0.06219468009584,-0.020277091154551,0.094020637202677,0.109561255572662,-0.108372662539726,-0.0270406436149957,"PlDNA_7","FL-KingPlan"
"43",-0.0630143061950465,-0.0206287498040154,0.104628806581033,0.111360729259369,-0.118568477964135,-0.0319873716334865,"PlDNA_7","FL-KingPlan"
"44",-0.059297157281209,-0.0219154362461023,0.0919885443784219,0.105462598231274,-0.108106579707097,-0.0306055964690247,"PlDNA_6","FL-KingPlan"
"45",-0.0646836152034082,-0.0183445724466757,0.0965412156549418,0.111644600604613,-0.106281326322642,-0.0247815054483434,"PlDNA_7","FL-KingPlan"
"46",-0.0606260493330402,-0.0155858354323475,0.09792795611182,0.100643505372886,-0.102904496441008,-0.0394058053918998,"PlDNA_6","FL-KingPlan"
"47",-0.0653727539449106,-0.0170153156597771,0.104147413026242,0.114268427438751,-0.115539570477515,-0.0483032165750897,"PlDNA_7","FL-KingPlan"
"48",-0.0610145154542347,-0.0187280676687113,0.0961294234691634,0.110015977206049,-0.114513524568501,-0.0337736777905341,"PlDNA_7","FL-KingPlan"
"49",-0.0641005471289056,-0.0179158904205369,0.0970705354260843,0.108065028399043,-0.112590651414434,-0.0428253950591119,"PlDNA_6","FL-KingPlan"
"50",-0.0641841069009225,-0.0160660340674185,0.0977703699754068,0.111176736663041,-0.109231676994869,-0.0199483076014015,"PlDNA_6","FL-KingPlan"
"51",-0.0632146740810309,-0.0206017201793882,0.0988503318143535,0.103153984918582,-0.110715460428933,-0.0427399030683414,"PlDNA_6","FL-KingPlan"
"52",-0.0607370921560243,-0.0152550358558963,0.0997177372499566,0.109339598017555,-0.112104797496835,-0.0351179207996041,"PlDNA_7","FL-KingPlan"
"53",-0.0637836757881646,-0.0221779809361903,0.0993244927131024,0.112895035193246,-0.113121257911476,-0.028387609316474,"PlDNA_6","FL-KingPlan"
"54",-0.0596965673297185,-0.0174633502117571,0.101305921520962,0.103093825623689,-0.107550660520542,-0.034279144557574,"PlDNA_6","FL-KingPlan"
"55",-0.0641800272072063,-0.0192144351057463,0.0967518991689353,0.11252958970455,-0.115419687754289,-0.0199862291144286,"PlDNA_6","FL-KingPlan"
"56",-0.0602617370530874,-0.0188390508939317,0.0975639180104095,0.10757136906033,-0.107465430084797,-0.0352302589838852,"PlDNA_7","FL-KingPlan"
"57",-0.0618095944236126,-0.0174477263664146,0.103666131823841,0.108074849055015,-0.108843647275226,-0.0393441975088593,"PlDNA_6","FL-KingPlan"
"58",-0.0643918286858219,-0.0175936312112236,0.103378893818328,0.10656595329752,-0.11225851910602,-0.0356385902757861,"PlDNA_6","FL-KingPlan"
"59",-0.0605602261342705,-0.0182015395089682,0.100780210858531,0.100196002854288,-0.107712426296137,-0.0326464300951412,"PlDNA_6","FL-KingPlan"
"60",-0.0638520345658557,-0.0176160589801097,0.104961469659394,0.106328842743038,-0.108653713824298,-0.0320033762558118,"PlDNA_6","FL-KingPlan"
"61",0.113972644332184,-0.0362139356643143,0.0203366670991767,-0.053950502453903,-0.0314581551762484,-0.00420241990086811,"PlDNA_6","LA-SisLake"
"62",0.114860876970156,-0.0375220276895788,0.0188725282845063,-0.0483938277502889,-0.0373654552854194,-9.93881550327185e-05,"PlDNA_7","LA-SisLake"
"63",0.113518897916371,-0.0333342247328544,0.0196710431027421,-0.052694651643993,-0.0370496678136744,0.0029149809669459,"PlDNA_7","LA-SisLake"
"64",0.113439650619615,-0.0323555663921715,0.0220174886269882,-0.0516288021302447,-0.0285460294421404,0.00414755694233082,"PlDNA_6","LA-SisLake"
"65",0.112307417903703,-0.0375802714297287,0.0189213134732891,-0.0522327246215687,-0.0320336277352397,0.00579095737299209,"PlDNA_6","LA-SisLake"
"66",0.116171297612415,-0.0390441248750452,0.0166325847733681,-0.0537672020852735,-0.0367863034613177,0.00578100815405879,"PlDNA_7","LA-SisLake"
"67",0.111032078905075,-0.0327481067956161,0.0166567189218513,-0.0539582475251006,-0.0331157999956051,0.00342301433060966,"PlDNA_6","LA-SisLake"
"68",0.113095501574291,-0.0338448524550685,0.0204139457226196,-0.0459199602302096,-0.0315109828121058,0.000455158686993708,"PlDNA_6","LA-SisLake"
"69",0.113270625050242,-0.0360365588924786,0.0240292758780331,-0.0484960682532591,-0.0320037888352887,0.00156556595894317,"PlDNA_6","LA-SisLake"
"70",0.112854671132067,-0.0353975604234158,0.0172714599254428,-0.0599201830319176,-0.0397623998648017,0.00362947682676713,"PlDNA_7","LA-SisLake"
"71",0.11465374161669,-0.0344270642394235,0.0157996069524363,-0.0522988362737599,-0.0362550109398513,0.00482810593456527,"PlDNA_6","LA-SisLake"
"72",0.112911798910489,-0.0359646177449049,0.0221007247147741,-0.058953398219092,-0.0338832109551154,0.00246777925720411,"PlDNA_6","LA-SisLake"
"73",0.110807865894284,-0.0348438499031626,0.0214011376669788,-0.0467316197179609,-0.0337246024016517,-0.00566909691936273,"PlDNA_6","LA-SisLake"
"74",0.116003202367585,-0.0393074824622924,0.0210102251310398,-0.0535834181984434,-0.0301680508699543,-8.46411931024903e-05,"PlDNA_7","LA-SisLake"
"75",0.113619987686558,-0.036632382200722,0.0182954044272645,-0.0561807028754635,-0.0373256191251581,0.00124303580976231,"PlDNA_6","LA-SisLake"
"76",0.114218978789483,-0.0334300995796399,0.0269837723593115,-0.0536736934141464,-0.032250512045291,0.00574524531625725,"PlDNA_6","LA-SisLake"
"77",0.113397531274392,-0.0358748872867356,0.0205818432368378,-0.0573842884438055,-0.0299044249721552,-0.00497618848487148,"PlDNA_7","LA-SisLake"
"78",0.115442948362621,-0.0339882661437031,0.0171900759410331,-0.0527982504862519,-0.0356441689356189,-0.0013239722723273,"PlDNA_6","LA-SisLake"
"79",0.113539601226788,-0.0346141503533337,0.0185945533999877,-0.0569573118532144,-0.0339395492167035,0.00472770282975258,"PlDNA_6","LA-SisLake"
"80",0.10882033470499,-0.0316864340408869,0.0189733352128286,-0.0515204312761933,-0.0320205204073127,0.0054084213047267,"PlDNA_6","LA-SisLake"
"81",0.115262398747373,-0.0338958622616281,0.0167774243403897,-0.0512125995252386,-0.0343760379779274,-0.00118420320541347,"PlDNA_7","TX-CapBay"
"82",0.111930397174454,-0.033544379919576,0.0250150151129234,-0.0558867412205208,-0.0331642904678132,0.00305333986625184,"PlDNA_6","TX-CapBay"
