"site_name","bag_label","bag_site","monitoring_event","length","Mean_Annual_Temperature_C","Mean_Annual_Salinity_ppt","lat","avg_observed_ho","avg_expected_hs","avg_allelic_richness"
"W3-FL","MVP-FL-2","Lewisetta",1,36.87804878,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-3","Lewisetta",1,34.98,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-4","York",1,36.56818182,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-5","York",1,36.64285714,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-6","York",1,36.26666667,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-1","Lewisetta",2,39.65,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-2","Lewisetta",2,42.2,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-3","Lewisetta",2,38.14,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-4","York",2,40.15909091,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-5","York",2,43.43589744,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-6","York",2,41.53658537,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-1","Lewisetta",3,47.91666667,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-2","Lewisetta",3,63.18421053,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-3","Lewisetta",3,61.125,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-4","York",3,54.42857143,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-5","York",3,47.40909091,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"W3-FL","MVP-FL-6","York",3,56.86206897,22.1556673008222,32.3522536547562,30.44003,0.393044770715626,0.291400859399564,2.43088207519345
"S1-LOLA","MVP-LOLA-1","Lewisetta",1,42.475,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-2","Lewisetta",1,44.25,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-3","Lewisetta",1,36.7,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-4","York",1,35.25581395,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-5","York",1,36.35,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-6","York",1,36.35714286,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-1","Lewisetta",2,43.81578947,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-2","Lewisetta",2,47.425,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-3","Lewisetta",2,40.175,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-4","York",2,38.975,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-5","York",2,36.97435897,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-6","York",2,38.05,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-1","Lewisetta",3,69.97297297,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-2","Lewisetta",3,77.37142857,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-3","Lewisetta",3,80.6,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-4","York",3,41.66666667,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-5","York",3,51.38461538,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S1-LOLA","MVP-LOLA-6","York",3,50.25925926,16.9039561007101,13.837441457832,37.1501163,0.410116929790295,0.297894389130787,2.38590892324612
"S2-DEBY","MVP-DEBY-1","Lewisetta",1,34.03703704,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-2","Lewisetta",1,28.78571429,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-3","Lewisetta",1,36.2195122,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-4","York",1,29.65217391,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-5","York",1,33.64444444,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-6","York",1,32.51111111,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-1","Lewisetta",2,42.86046512,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
"S2-DEBY","MVP-DEBY-2","Lewisetta",2,40.46341463,17.1242424156129,19.3391307162995,37.9803,0.399172041883819,0.292059159465305,2.36783344682234
