"","bag_site","pop","t","bags_label","tags_label","length","width"
"121","Lewisetta","W6-ME",1,"MVP-ME-1","B325",33,22
"122","Lewisetta","W6-ME",2,"MVP-ME-1","B325",42,26
"123","Lewisetta","W6-ME",3,"MVP-ME-1","B325",61,43
"124","Lewisetta","W6-ME",1,"MVP-ME-1","B321",28,19
"125","Lewisetta","W6-ME",2,"MVP-ME-1","B321",36,28
"126","Lewisetta","W6-ME",3,"MVP-ME-1","B321",58,46
"127","Lewisetta","W1-TX",1,"MVP-TX-3","E037",41,27
"128","Lewisetta","W1-TX",2,"MVP-TX-3","E037",49,30
"129","Lewisetta","W1-TX",3,"MVP-TX-3","E037",86,63
"130","Lewisetta","W1-TX",1,"MVP-TX-3","E029",35,27
"131","Lewisetta","W1-TX",2,"MVP-TX-3","E029",39,31
"132","Lewisetta","W1-TX",3,"MVP-TX-3","E029",58,50
"133","Lewisetta","W1-TX",1,"MVP-TX-3","E036",43,23
"134","Lewisetta","W1-TX",2,"MVP-TX-3","E036",53,31
"135","Lewisetta","W1-TX",3,"MVP-TX-3","E036",52,32
"136","Lewisetta","W1-TX",1,"MVP-TX-3","E028",38,24
"137","Lewisetta","W1-TX",2,"MVP-TX-3","E028",48,36
"138","Lewisetta","W1-TX",3,"MVP-TX-3","E028",61,37
"139","Lewisetta","W1-TX",1,"MVP-TX-3","E027-B306",34,24
"140","Lewisetta","W1-TX",2,"MVP-TX-3","E027-B306",44,31
"141","Lewisetta","W1-TX",3,"MVP-TX-3","E027-B306",77,57
"142","Lewisetta","W1-TX",1,"MVP-TX-3","E034",38,27
"143","Lewisetta","W1-TX",2,"MVP-TX-3","E034",46,29
"144","Lewisetta","W1-TX",3,"MVP-TX-3","E034",79,54
"145","Lewisetta","W1-TX",1,"MVP-TX-3","E040-B302",32,18
"146","Lewisetta","W1-TX",2,"MVP-TX-3","E040-B302",35,21
"147","Lewisetta","W1-TX",3,"MVP-TX-3","E040-B302",64,36
"148","Lewisetta","W1-TX",1,"MVP-TX-3","E038",37,27
"149","Lewisetta","W1-TX",2,"MVP-TX-3","E038",40,30
"150","Lewisetta","W1-TX",3,"MVP-TX-3","E038",69,37
"151","Lewisetta","W1-TX",1,"MVP-TX-3","E039",31,21
"152","Lewisetta","W1-TX",1,"MVP-TX-3","E026",26,17
"153","Lewisetta","W1-TX",2,"MVP-TX-3","E026",27,18
"154","Lewisetta","W1-TX",3,"MVP-TX-3","E026",66,47
"155","Lewisetta","W1-TX",1,"MVP-TX-3","E035-B299",35,29
"156","Lewisetta","W1-TX",2,"MVP-TX-3","E035-B299",40,30
"157","Lewisetta","W1-TX",3,"MVP-TX-3","E035-B299",87,57
"158","Lewisetta","W1-TX",1,"MVP-TX-3","E025",29,24
"159","Lewisetta","W1-TX",2,"MVP-TX-3","E025",36,29
"160","Lewisetta","W1-TX",3,"MVP-TX-3","E025",62,49
"161","Lewisetta","W1-TX",1,"MVP-TX-3","E023",42,23
"162","Lewisetta","W1-TX",2,"MVP-TX-3","E023",50,23
"163","Lewisetta","W1-TX",3,"MVP-TX-3","E023",79,48
"164","Lewisetta","W1-TX",1,"MVP-TX-3","E024",33,22
"165","Lewisetta","W1-TX",2,"MVP-TX-3","E024",41,27
"166","Lewisetta","W1-TX",3,"MVP-TX-3","E024",79,49
"167","Lewisetta","W1-TX",1,"MVP-TX-3","B305",34,25
"168","Lewisetta","W1-TX",2,"MVP-TX-3","B305",41,28
"169","Lewisetta","W1-TX",3,"MVP-TX-3","B305",74,49
"170","Lewisetta","W1-TX",1,"MVP-TX-3","E032",31,25
"171","Lewisetta","W1-TX",2,"MVP-TX-3","E032",38,29
"172","Lewisetta","W1-TX",3,"MVP-TX-3","E032",73,51
"173","Lewisetta","W1-TX",1,"MVP-TX-3","E033-B307",42,22
"174","Lewisetta","W1-TX",2,"MVP-TX-3","E033-B307",49,24
"175","Lewisetta","W1-TX",3,"MVP-TX-3","E033-B307",80,47
"176","Lewisetta","W1-TX",1,"MVP-TX-3","E022",33,24
"177","Lewisetta","W1-TX",2,"MVP-TX-3","E022",37,24
"178","Lewisetta","W1-TX",3,"MVP-TX-3","E022",51,48
"179","Lewisetta","W1-TX",1,"MVP-TX-3","E016",36,29
"180","Lewisetta","W1-TX",2,"MVP-TX-3","E016",46,35
"181","Lewisetta","W1-TX",1,"MVP-TX-3","E017",40,26
"182","Lewisetta","W1-TX",2,"MVP-TX-3","E017",49,30
"183","Lewisetta","W1-TX",3,"MVP-TX-3","E017",41,21
"184","Lewisetta","W1-TX",1,"MVP-TX-3","E009",38,24
"185","Lewisetta","W1-TX",2,"MVP-TX-3","E009",50,31
"186","Lewisetta","W1-TX",3,"MVP-TX-3","E009",68,45
"187","Lewisetta","W1-TX",1,"MVP-TX-3","E041-B300",30,22
"188","Lewisetta","W1-TX",2,"MVP-TX-3","E041-B300",38,22
"189","Lewisetta","W1-TX",3,"MVP-TX-3","E041-B300",76,53
"190","Lewisetta","W1-TX",1,"MVP-TX-3","E020",34,24
"191","Lewisetta","W1-TX",2,"MVP-TX-3","E020",43,26
"192","Lewisetta","W1-TX",3,"MVP-TX-3","E020",80,47
"193","Lewisetta","W1-TX",1,"MVP-TX-3","E031-B303",25,18
"194","Lewisetta","W1-TX",2,"MVP-TX-3","E031-B303",34,27
"195","Lewisetta","W1-TX",3,"MVP-TX-3","E031-B303",51,33
"196","Lewisetta","W1-TX",1,"MVP-TX-3","E018",32,24
"197","Lewisetta","W1-TX",2,"MVP-TX-3","E018",41,27
"198","Lewisetta","W1-TX",1,"MVP-TX-3","E021",34,20
"199","Lewisetta","W1-TX",2,"MVP-TX-3","E021",46,31
"200","Lewisetta","W1-TX",3,"MVP-TX-3","E021",78,45
"201","Lewisetta","W1-TX",1,"MVP-TX-3","E014",45,25
"202","Lewisetta","W1-TX",2,"MVP-TX-3","E014",55,29
"203","Lewisetta","W1-TX",3,"MVP-TX-3","E014",90,51
"204","Lewisetta","W1-TX",1,"MVP-TX-3","E015",52,29
"205","Lewisetta","W1-TX",2,"MVP-TX-3","E015",64,38
"206","Lewisetta","W1-TX",3,"MVP-TX-3","E015",64,41
"207","Lewisetta","W1-TX",1,"MVP-TX-3","E008",41,32
"208","Lewisetta","W1-TX",2,"MVP-TX-3","E008",52,30
"209","Lewisetta","W1-TX",3,"MVP-TX-3","E008",54,36
"210","Lewisetta","W1-TX",1,"MVP-TX-3","E003-B304",31,23
"211","Lewisetta","W1-TX",2,"MVP-TX-3","E003-B304",33,23
"212","Lewisetta","W1-TX",3,"MVP-TX-3","E003-B304",66,44
"213","Lewisetta","W1-TX",1,"MVP-TX-3","E010-B309",28,19
"214","Lewisetta","W1-TX",2,"MVP-TX-3","E010-B309",33,22
"215","Lewisetta","W1-TX",1,"MVP-TX-3","E002",40,27
"216","Lewisetta","W1-TX",2,"MVP-TX-3","E002",48,30
"217","Lewisetta","W1-TX",3,"MVP-TX-3","E002",95,46
"218","Lewisetta","W1-TX",1,"MVP-TX-3","E011-D720",27,18
"219","Lewisetta","W1-TX",2,"MVP-TX-3","E011-D720",33,25
"220","Lewisetta","W1-TX",3,"MVP-TX-3","E011-D720",51,37
"221","Lewisetta","W1-TX",1,"MVP-TX-3","E007-B308",34,24
"222","Lewisetta","W1-TX",2,"MVP-TX-3","E007-B308",40,27
"223","Lewisetta","W1-TX",3,"MVP-TX-3","E007-B308",66,37
"224","Lewisetta","W1-TX",1,"MVP-TX-3","E001",42,27
"225","Lewisetta","W1-TX",2,"MVP-TX-3","E001",50,36
"226","Lewisetta","W1-TX",1,"MVP-TX-3","E019",36,18
"227","Lewisetta","W1-TX",2,"MVP-TX-3","E019",40,21
"228","Lewisetta","W1-TX",3,"MVP-TX-3","E019",66,39
"229","Lewisetta","W1-TX",1,"MVP-TX-3","E012",35,24
"230","Lewisetta","W1-TX",2,"MVP-TX-3","E012",39,30
"231","Lewisetta","W1-TX",3,"MVP-TX-3","E012",62,36
"232","Lewisetta","W1-TX",1,"MVP-TX-3","E013",47,29
"233","Lewisetta","W1-TX",2,"MVP-TX-3","E013",51,36
"234","Lewisetta","W1-TX",3,"MVP-TX-3","E013",57,37
"235","Lewisetta","W1-TX",1,"MVP-TX-3","E005",43,25
"236","Lewisetta","W1-TX",2,"MVP-TX-3","E005",54,30
"237","Lewisetta","W1-TX",3,"MVP-TX-3","E005",83,64
"238","Lewisetta","W1-TX",1,"MVP-TX-3","E006-B301",37,27
"239","Lewisetta","W1-TX",2,"MVP-TX-3","E006-B301",47,31
"240","Lewisetta","W1-TX",3,"MVP-TX-3","E006-B301",51,36
"241","Lewisetta","W1-TX",1,"MVP-TX-3","E000-D721",33,22
"242","Lewisetta","W1-TX",2,"MVP-TX-3","E000-D721",38,28
"243","Lewisetta","W1-TX",3,"MVP-TX-3","E000-D721",70,44
"244","Lewisetta","W1-TX",1,"MVP-TX-3","E004",24,16
"245","Lewisetta","W1-TX",2,"MVP-TX-3","E004",30,20
"246","Lewisetta","W1-TX",3,"MVP-TX-3","E004",58,39
"247","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A040",34,27
"248","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A040",39,32
"249","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A040",81,51
"250","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A031",36,25
"251","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A031",40,31
"252","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A031",82,53
"253","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A032",31,23
"254","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A032",38,31
"255","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A032",75,50
"256","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A033",39,27
"257","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A033",44,32
"258","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A033",84,51
"259","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A034",45,29
"260","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A034",50,29
"261","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A034",44,26
"262","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A030",34,23
"263","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A030",44,30
"264","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A035",45,26
"265","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A035",49,30
"266","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A035",108,54
"267","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A036",36,30
"268","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A036",43,32
"269","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A036",40,29
"270","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A037",30,23
"271","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A037",41,30
"272","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A037",66,42
"273","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A038",30,23
"274","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A038",34,24
"275","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A038",51,45
"276","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A027",40,26
"277","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A027",51,27
"278","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A027",105,58
"279","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A039",29,24
"280","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A039",33,24
"281","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A024",40,30
"282","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A024",46,34
"283","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A024",76,51
"284","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A023",36,29
"285","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A023",43,31
"286","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A023",78,55
"287","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A022",39,30
"288","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A022",49,35
"289","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A022",74,45
"290","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A021",31,24
"291","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A021",39,30
"292","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A021",65,52
"293","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A025",29,20
"294","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A025",35,25
"295","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A025",80,55
"296","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A020",31,24
"297","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A020",35,25
"298","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A020",77,49
"299","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A013",37,23
"300","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A013",45,30
"301","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A013",71,45
"302","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A014",32,22
"303","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A014",32,22
"304","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A014",59,54
"305","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A015",37,27
"306","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A015",44,28
"307","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A015",93,57
"308","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A012",39,25
"309","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A012",48,32
"310","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A012",68,50
"311","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A011",42,26
"312","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A011",47,29
"313","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A011",73,44
"314","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A010",33,23
"315","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A010",36,26
"316","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A010",76,45
"317","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A026",38,24
"318","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A026",43,26
"319","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A026",85,59
"320","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A026",67,46
"321","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A028",30,24
"322","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A028",39,26
"323","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A028",95,54
"324","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A016",39,27
"325","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A016",41,26
"326","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A016",71,53
"327","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A017",34,24
"328","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A017",39,29
"329","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A018",39,26
"330","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A018",44,35
"331","Lewisetta","S2-DEBY",3,"MVP-DEBY-3","A018",95,56
"332","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A019",33,26
"333","Lewisetta","S2-DEBY",2,"MVP-DEBY-3","A019",43,29
"334","Lewisetta","S2-DEBY",1,"MVP-DEBY-3","A029",32,23
