"","bag_site","pop","bags_label","t","surv"
"129","Lewisetta","W3-FL","MVP-FL-3",3,0.676934663905103
"130","YorkRiver","W3-FL","MVP-FL-4",3,0.60868405255786
"131","YorkRiver","W3-FL","MVP-FL-5",3,0.521527744870398
"132","YorkRiver","W3-FL","MVP-FL-6",3,0.533288201160542
"133","Lewisetta","W4-VA","MVP-JR-1",3,0.57216886860862
"134","Lewisetta","W4-VA","MVP-JR-2",3,0.458376578446635
"135","Lewisetta","W4-VA","MVP-JR-3",3,0.597493560745438
"136","YorkRiver","W4-VA","MVP-JR-4",3,0.533131654159215
"137","YorkRiver","W4-VA","MVP-JR-5",3,0.431804541846553
"138","YorkRiver","W4-VA","MVP-JR-6",3,0.465754474723085
"139","Lewisetta","W2-LA","MVP-LA-1",3,0.890979520920562
"140","Lewisetta","W2-LA","MVP-LA-2",3,0.914076413420371
"141","Lewisetta","W2-LA","MVP-LA-3",3,0.961246761403784
"142","YorkRiver","W2-LA","MVP-LA-4",3,0.255757239445669
"143","YorkRiver","W2-LA","MVP-LA-5",3,0.383553098848161
"144","YorkRiver","W2-LA","MVP-LA-6",3,0.289135159957141
"145","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-1",3,0.523452653524692
"146","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-2",3,0.66984667802385
"147","Lewisetta","H1-HYBRIDMIX","MVP-LARMIX-3",3,0.600685727347188
"148","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-4",3,0.333052029322367
"149","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-5",3,0.335561292619959
"150","YorkRiver","H1-HYBRIDMIX","MVP-LARMIX-6",3,0.331630686574137
"151","Lewisetta","S1-LOLA","MVP-LOLA-1",3,0.743191489361702
"152","Lewisetta","S1-LOLA","MVP-LOLA-2",3,0.777710986316539
"153","Lewisetta","S1-LOLA","MVP-LOLA-3",3,0.775912128427683
"154","YorkRiver","S1-LOLA","MVP-LOLA-4",3,0.281319930380421
"155","YorkRiver","S1-LOLA","MVP-LOLA-5",3,0.338871603028723
"156","YorkRiver","S1-LOLA","MVP-LOLA-6",3,0.33893496814521
"157","Lewisetta","W6-ME","MVP-ME-1",3,0.0915826230290411
"158","Lewisetta","W6-ME","MVP-ME-2",3,0.158856830187091
"159","Lewisetta","W6-ME","MVP-ME-3",3,0.262733968733083
"160","YorkRiver","W6-ME","MVP-ME-4",3,0.0265118742826874
"161","YorkRiver","W6-ME","MVP-ME-5",3,0.0516630351192002
"162","YorkRiver","W6-ME","MVP-ME-6",3,0.0251590815393716
"163","Lewisetta","W5-NH","MVP-NH-1",3,0.181066053821632
"164","Lewisetta","W5-NH","MVP-NH-2",3,0.155728314238953
"165","Lewisetta","W5-NH","MVP-NH-3",3,0.0686184706359789
"166","YorkRiver","W5-NH","MVP-NH-4",3,0.00513771048166036
"167","YorkRiver","W5-NH","MVP-NH-5",3,0.0621763397540812
"168","YorkRiver","W5-NH","MVP-NH-6",3,0.0515083770171652
"169","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-1",3,0.544898917240857
"170","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-2",3,0.65761819850077
"171","Lewisetta","H2-SEEDMIX","MVP-SEEDMIX-3",3,0.624056685962093
"172","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-4",3,0.340709881135413
"173","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-5",3,0.391604273274082
"174","YorkRiver","H2-SEEDMIX","MVP-SEEDMIX-6",3,0.384609139803132
"175","Lewisetta","W1-TX","MVP-TX-1",3,0.651261612226551
"176","Lewisetta","W1-TX","MVP-TX-2",3,0.832548824742889
"177","Lewisetta","W1-TX","MVP-TX-3",3,0.772438078892078
"178","YorkRiver","W1-TX","MVP-TX-4",3,0.36449449538562
"179","YorkRiver","W1-TX","MVP-TX-5",3,0.520800254048904
"180","YorkRiver","W1-TX","MVP-TX-6",3,0.440677966101695
